sample_index,wine_type,attr_key,attr_value,quality_raw,quality_class_str,quality_class
4,red,density,0.9978,5.0,medium,1
4,red,pH,3.51,5.0,medium,1
4,red,sulphates,0.56,5.0,medium,1
4,red,alcohol,9.4,5.0,medium,1
5,red,fixed acidity,7.4,5.0,medium,1
5,red,volatile acidity,0.66,5.0,medium,1
5,red,citric acid,0.0,5.0,medium,1
5,red,residual sugar,1.8,5.0,medium,1
5,red,chlorides,0.075,5.0,medium,1
5,red,free sulfur dioxide,13.0,5.0,medium,1
5,red,total sulfur dioxide,40.0,5.0,medium,1
5,red,density,0.9978,5.0,medium,1
5,red,pH,3.51,5.0,medium,1
5,red,sulphates,0.56,5.0,medium,1
5,red,alcohol,9.4,5.0,medium,1
6,red,fixed acidity,7.9,5.0,medium,1
6,red,volatile acidity,0.6,5.0,medium,1
6,red,citric acid,0.06,5.0,medium,1
6,red,residual sugar,1.6,5.0,medium,1
6,red,chlorides,0.069,5.0,medium,1
6,red,free sulfur dioxide,15.0,5.0,medium,1
6,red,total sulfur dioxide,59.0,5.0,medium,1
6,red,density,0.9964,5.0,medium,1
6,red,pH,3.3,5.0,medium,1
6,red,sulphates,0.46,5.0,medium,1
6,red,alcohol,9.4,5.0,medium,1
7,red,fixed acidity,7.3,7.0,high,2
7,red,volatile acidity,0.65,7.0,high,2
7,red,citric acid,0.0,7.0,high,2
7,red,residual sugar,1.2,7.0,high,2
7,red,chlorides,0.065,7.0,high,2
7,red,free sulfur dioxide,15.0,7.0,high,2
7,red,total sulfur dioxide,21.0,7.0,high,2
7,red,density,0.9946,7.0,high,2
7,red,pH,3.39,7.0,high,2
7,red,sulphates,0.47,7.0,high,2
7,red,alcohol,10.0,7.0,high,2
8,red,fixed acidity,7.8,7.0,high,2
8,red,volatile acidity,0.58,7.0,high,2
8,red,citric acid,0.02,7.0,high,2
8,red,residual sugar,2.0,7.0,high,2
8,red,chlorides,0.073,7.0,high,2
8,red,free sulfur dioxide,9.0,7.0,high,2
8,red,total sulfur dioxide,18.0,7.0,high,2
8,red,density,0.9968,7.0,high,2
8,red,pH,3.36,7.0,high,2
8,red,sulphates,0.57,7.0,high,2
8,red,alcohol,9.5,7.0,high,2
9,red,fixed acidity,7.5,5.0,medium,1
9,red,volatile acidity,0.5,5.0,medium,1
9,red,citric acid,0.36,5.0,medium,1
9,red,residual sugar,6.1,5.0,medium,1
9,red,chlorides,0.071,5.0,medium,1
9,red,free sulfur dioxide,17.0,5.0,medium,1
9,red,total sulfur dioxide,102.0,5.0,medium,1
9,red,density,0.9978,5.0,medium,1
9,red,pH,3.35,5.0,medium,1
9,red,sulphates,0.8,5.0,medium,1
9,red,alcohol,10.5,5.0,medium,1
10,red,fixed acidity,6.7,5.0,medium,1
10,red,volatile acidity,0.58,5.0,medium,1
10,red,citric acid,0.08,5.0,medium,1
10,red,residual sugar,1.8,5.0,medium,1
10,red,chlorides,0.097,5.0,medium,1
10,red,free sulfur dioxide,15.0,5.0,medium,1
10,red,total sulfur dioxide,65.0,5.0,medium,1
10,red,density,0.9959,5.0,medium,1
10,red,pH,3.28,5.0,medium,1
10,red,sulphates,0.54,5.0,medium,1
10,red,alcohol,9.2,5.0,medium,1
11,red,fixed acidity,7.5,5.0,medium,1
11,red,volatile acidity,0.5,5.0,medium,1
11,red,citric acid,0.36,5.0,medium,1
11,red,residual sugar,6.1,5.0,medium,1
11,red,chlorides,0.071,5.0,medium,1
11,red,free sulfur dioxide,17.0,5.0,medium,1
11,red,total sulfur dioxide,102.0,5.0,medium,1
11,red,density,0.9978,5.0,medium,1
11,red,pH,3.35,5.0,medium,1
11,red,sulphates,0.8,5.0,medium,1
11,red,alcohol,10.5,5.0,medium,1
12,red,fixed acidity,5.6,5.0,medium,1
12,red,volatile acidity,0.615,5.0,medium,1
12,red,citric acid,0.0,5.0,medium,1
12,red,residual sugar,1.6,5.0,medium,1
12,red,chlorides,0.089,5.0,medium,1
12,red,free sulfur dioxide,16.0,5.0,medium,1
12,red,total sulfur dioxide,59.0,5.0,medium,1
12,red,density,0.9943,5.0,medium,1
12,red,pH,3.58,5.0,medium,1
12,red,sulphates,0.52,5.0,medium,1
12,red,alcohol,9.9,5.0,medium,1
13,red,fixed acidity,7.8,5.0,medium,1
13,red,volatile acidity,0.61,5.0,medium,1
13,red,citric acid,0.29,5.0,medium,1
13,red,residual sugar,1.6,5.0,medium,1
13,red,chlorides,0.114,5.0,medium,1
13,red,free sulfur dioxide,9.0,5.0,medium,1
13,red,total sulfur dioxide,29.0,5.0,medium,1
13,red,density,0.9974,5.0,medium,1
13,red,pH,3.26,5.0,medium,1
13,red,sulphates,1.56,5.0,medium,1
13,red,alcohol,9.1,5.0,medium,1
14,red,fixed acidity,8.9,5.0,medium,1
14,red,volatile acidity,0.62,5.0,medium,1
14,red,citric acid,0.18,5.0,medium,1
14,red,residual sugar,3.8,5.0,medium,1
14,red,chlorides,0.176,5.0,medium,1
14,red,free sulfur dioxide,52.0,5.0,medium,1
14,red,total sulfur dioxide,145.0,5.0,medium,1
14,red,density,0.9986,5.0,medium,1
14,red,pH,3.16,5.0,medium,1
14,red,sulphates,0.88,5.0,medium,1
14,red,alcohol,9.2,5.0,medium,1
15,red,fixed acidity,8.9,5.0,medium,1
15,red,volatile acidity,0.62,5.0,medium,1
15,red,citric acid,0.19,5.0,medium,1
15,red,residual sugar,3.9,5.0,medium,1
15,red,chlorides,0.17,5.0,medium,1
15,red,free sulfur dioxide,51.0,5.0,medium,1
15,red,total sulfur dioxide,148.0,5.0,medium,1
15,red,density,0.9986,5.0,medium,1
15,red,pH,3.17,5.0,medium,1
15,red,sulphates,0.93,5.0,medium,1
15,red,alcohol,9.2,5.0,medium,1
16,red,fixed acidity,8.5,7.0,high,2
16,red,volatile acidity,0.28,7.0,high,2
16,red,citric acid,0.56,7.0,high,2
16,red,residual sugar,1.8,7.0,high,2
16,red,chlorides,0.092,7.0,high,2
16,red,free sulfur dioxide,35.0,7.0,high,2
16,red,total sulfur dioxide,103.0,7.0,high,2
16,red,density,0.9969,7.0,high,2
16,red,pH,3.3,7.0,high,2
16,red,sulphates,0.75,7.0,high,2
16,red,alcohol,10.5,7.0,high,2
17,red,fixed acidity,8.1,5.0,medium,1
17,red,volatile acidity,0.56,5.0,medium,1
17,red,citric acid,0.28,5.0,medium,1
17,red,residual sugar,1.7,5.0,medium,1
17,red,chlorides,0.368,5.0,medium,1
17,red,free sulfur dioxide,16.0,5.0,medium,1
17,red,total sulfur dioxide,56.0,5.0,medium,1
17,red,density,0.9968,5.0,medium,1
17,red,pH,3.11,5.0,medium,1
17,red,sulphates,1.28,5.0,medium,1
17,red,alcohol,9.3,5.0,medium,1
18,red,fixed acidity,7.4,4.0,low,0
18,red,volatile acidity,0.59,4.0,low,0
18,red,citric acid,0.08,4.0,low,0
18,red,residual sugar,4.4,4.0,low,0
18,red,chlorides,0.086,4.0,low,0
18,red,free sulfur dioxide,6.0,4.0,low,0
18,red,total sulfur dioxide,29.0,4.0,low,0
18,red,density,0.9974,4.0,low,0
18,red,pH,3.38,4.0,low,0
18,red,sulphates,0.5,4.0,low,0
18,red,alcohol,9.0,4.0,low,0
19,red,fixed acidity,7.9,6.0,medium,1
19,red,volatile acidity,0.32,6.0,medium,1
19,red,citric acid,0.51,6.0,medium,1
19,red,residual sugar,1.8,6.0,medium,1
19,red,chlorides,0.341,6.0,medium,1
19,red,free sulfur dioxide,17.0,6.0,medium,1
19,red,total sulfur dioxide,56.0,6.0,medium,1
19,red,density,0.9969,6.0,medium,1
19,red,pH,3.04,6.0,medium,1
19,red,sulphates,1.08,6.0,medium,1
19,red,alcohol,9.2,6.0,medium,1
20,red,fixed acidity,8.9,6.0,medium,1
20,red,volatile acidity,0.22,6.0,medium,1
20,red,citric acid,0.48,6.0,medium,1
20,red,residual sugar,1.8,6.0,medium,1
20,red,chlorides,0.077,6.0,medium,1
20,red,free sulfur dioxide,29.0,6.0,medium,1
20,red,total sulfur dioxide,60.0,6.0,medium,1
20,red,density,0.9968,6.0,medium,1
20,red,pH,3.39,6.0,medium,1
20,red,sulphates,0.53,6.0,medium,1
20,red,alcohol,9.4,6.0,medium,1
21,red,fixed acidity,7.6,5.0,medium,1
21,red,volatile acidity,0.39,5.0,medium,1
21,red,citric acid,0.31,5.0,medium,1
21,red,residual sugar,2.3,5.0,medium,1
21,red,chlorides,0.082,5.0,medium,1
21,red,free sulfur dioxide,23.0,5.0,medium,1
21,red,total sulfur dioxide,71.0,5.0,medium,1
21,red,density,0.9982,5.0,medium,1
21,red,pH,3.52,5.0,medium,1
21,red,sulphates,0.65,5.0,medium,1
21,red,alcohol,9.7,5.0,medium,1
22,red,fixed acidity,7.9,5.0,medium,1
22,red,volatile acidity,0.43,5.0,medium,1
22,red,citric acid,0.21,5.0,medium,1
22,red,residual sugar,1.6,5.0,medium,1
22,red,chlorides,0.106,5.0,medium,1
22,red,free sulfur dioxide,10.0,5.0,medium,1
22,red,total sulfur dioxide,37.0,5.0,medium,1
22,red,density,0.9966,5.0,medium,1
22,red,pH,3.17,5.0,medium,1
22,red,sulphates,0.91,5.0,medium,1
22,red,alcohol,9.5,5.0,medium,1
23,red,fixed acidity,8.5,5.0,medium,1
23,red,volatile acidity,0.49,5.0,medium,1
23,red,citric acid,0.11,5.0,medium,1
23,red,residual sugar,2.3,5.0,medium,1
23,red,chlorides,0.084,5.0,medium,1
23,red,free sulfur dioxide,9.0,5.0,medium,1
23,red,total sulfur dioxide,67.0,5.0,medium,1
23,red,density,0.9968,5.0,medium,1
23,red,pH,3.17,5.0,medium,1
23,red,sulphates,0.53,5.0,medium,1
23,red,alcohol,9.4,5.0,medium,1
24,red,fixed acidity,6.9,6.0,medium,1
24,red,volatile acidity,0.4,6.0,medium,1
24,red,citric acid,0.14,6.0,medium,1
24,red,residual sugar,2.4,6.0,medium,1
24,red,chlorides,0.085,6.0,medium,1
24,red,free sulfur dioxide,21.0,6.0,medium,1
24,red,total sulfur dioxide,40.0,6.0,medium,1
24,red,density,0.9968,6.0,medium,1
24,red,pH,3.43,6.0,medium,1
24,red,sulphates,0.63,6.0,medium,1
24,red,alcohol,9.7,6.0,medium,1
25,red,fixed acidity,6.3,5.0,medium,1
25,red,volatile acidity,0.39,5.0,medium,1
25,red,citric acid,0.16,5.0,medium,1
25,red,residual sugar,1.4,5.0,medium,1
25,red,chlorides,0.08,5.0,medium,1
25,red,free sulfur dioxide,11.0,5.0,medium,1
25,red,total sulfur dioxide,23.0,5.0,medium,1
25,red,density,0.9955,5.0,medium,1
25,red,pH,3.34,5.0,medium,1
25,red,sulphates,0.56,5.0,medium,1
25,red,alcohol,9.3,5.0,medium,1
26,red,fixed acidity,7.6,5.0,medium,1
26,red,volatile acidity,0.41,5.0,medium,1
26,red,citric acid,0.24,5.0,medium,1
26,red,residual sugar,1.8,5.0,medium,1
26,red,chlorides,0.08,5.0,medium,1
26,red,free sulfur dioxide,4.0,5.0,medium,1
26,red,total sulfur dioxide,11.0,5.0,medium,1
26,red,density,0.9962,5.0,medium,1
26,red,pH,3.28,5.0,medium,1
26,red,sulphates,0.59,5.0,medium,1
26,red,alcohol,9.5,5.0,medium,1
27,red,fixed acidity,7.9,5.0,medium,1
27,red,volatile acidity,0.43,5.0,medium,1
27,red,citric acid,0.21,5.0,medium,1
27,red,residual sugar,1.6,5.0,medium,1
27,red,chlorides,0.106,5.0,medium,1
27,red,free sulfur dioxide,10.0,5.0,medium,1
27,red,total sulfur dioxide,37.0,5.0,medium,1
27,red,density,0.9966,5.0,medium,1
27,red,pH,3.17,5.0,medium,1
27,red,sulphates,0.91,5.0,medium,1
27,red,alcohol,9.5,5.0,medium,1
28,red,fixed acidity,7.1,5.0,medium,1
28,red,volatile acidity,0.71,5.0,medium,1
28,red,citric acid,0.0,5.0,medium,1
28,red,residual sugar,1.9,5.0,medium,1
28,red,chlorides,0.08,5.0,medium,1
28,red,free sulfur dioxide,14.0,5.0,medium,1
28,red,total sulfur dioxide,35.0,5.0,medium,1
28,red,density,0.9972,5.0,medium,1
28,red,pH,3.47,5.0,medium,1
28,red,sulphates,0.55,5.0,medium,1
28,red,alcohol,9.4,5.0,medium,1
29,red,fixed acidity,7.8,6.0,medium,1
29,red,volatile acidity,0.645,6.0,medium,1
29,red,citric acid,0.0,6.0,medium,1
29,red,residual sugar,2.0,6.0,medium,1
29,red,chlorides,0.082,6.0,medium,1
29,red,free sulfur dioxide,8.0,6.0,medium,1
29,red,total sulfur dioxide,16.0,6.0,medium,1
29,red,density,0.9964,6.0,medium,1
29,red,pH,3.38,6.0,medium,1
29,red,sulphates,0.59,6.0,medium,1
29,red,alcohol,9.8,6.0,medium,1
30,red,fixed acidity,6.7,5.0,medium,1
30,red,volatile acidity,0.675,5.0,medium,1
30,red,citric acid,0.07,5.0,medium,1
30,red,residual sugar,2.4,5.0,medium,1
30,red,chlorides,0.089,5.0,medium,1
30,red,free sulfur dioxide,17.0,5.0,medium,1
30,red,total sulfur dioxide,82.0,5.0,medium,1
30,red,density,0.9958,5.0,medium,1
30,red,pH,3.35,5.0,medium,1
30,red,sulphates,0.54,5.0,medium,1
30,red,alcohol,10.1,5.0,medium,1
31,red,fixed acidity,6.9,6.0,medium,1
31,red,volatile acidity,0.685,6.0,medium,1
31,red,citric acid,0.0,6.0,medium,1
31,red,residual sugar,2.5,6.0,medium,1
31,red,chlorides,0.105,6.0,medium,1
31,red,free sulfur dioxide,22.0,6.0,medium,1
31,red,total sulfur dioxide,37.0,6.0,medium,1
31,red,density,0.9966,6.0,medium,1
31,red,pH,3.46,6.0,medium,1
31,red,sulphates,0.57,6.0,medium,1
31,red,alcohol,10.6,6.0,medium,1
32,red,fixed acidity,8.3,5.0,medium,1
32,red,volatile acidity,0.655,5.0,medium,1
32,red,citric acid,0.12,5.0,medium,1
32,red,residual sugar,2.3,5.0,medium,1
32,red,chlorides,0.083,5.0,medium,1
32,red,free sulfur dioxide,15.0,5.0,medium,1
32,red,total sulfur dioxide,113.0,5.0,medium,1
32,red,density,0.9966,5.0,medium,1
32,red,pH,3.17,5.0,medium,1
32,red,sulphates,0.66,5.0,medium,1
32,red,alcohol,9.8,5.0,medium,1
33,red,fixed acidity,6.9,6.0,medium,1
33,red,volatile acidity,0.605,6.0,medium,1
33,red,citric acid,0.12,6.0,medium,1
33,red,residual sugar,10.7,6.0,medium,1
33,red,chlorides,0.073,6.0,medium,1
33,red,free sulfur dioxide,40.0,6.0,medium,1
33,red,total sulfur dioxide,83.0,6.0,medium,1
33,red,density,0.9993,6.0,medium,1
33,red,pH,3.45,6.0,medium,1
33,red,sulphates,0.52,6.0,medium,1
33,red,alcohol,9.4,6.0,medium,1
34,red,fixed acidity,5.2,5.0,medium,1
34,red,volatile acidity,0.32,5.0,medium,1
34,red,citric acid,0.25,5.0,medium,1
34,red,residual sugar,1.8,5.0,medium,1
34,red,chlorides,0.103,5.0,medium,1
34,red,free sulfur dioxide,13.0,5.0,medium,1
34,red,total sulfur dioxide,50.0,5.0,medium,1
34,red,density,0.9957,5.0,medium,1
34,red,pH,3.38,5.0,medium,1
34,red,sulphates,0.55,5.0,medium,1
34,red,alcohol,9.2,5.0,medium,1
35,red,fixed acidity,7.8,6.0,medium,1
35,red,volatile acidity,0.645,6.0,medium,1
35,red,citric acid,0.0,6.0,medium,1
35,red,residual sugar,5.5,6.0,medium,1
35,red,chlorides,0.086,6.0,medium,1
35,red,free sulfur dioxide,5.0,6.0,medium,1
35,red,total sulfur dioxide,18.0,6.0,medium,1
35,red,density,0.9986,6.0,medium,1
35,red,pH,3.4,6.0,medium,1
35,red,sulphates,0.55,6.0,medium,1
35,red,alcohol,9.6,6.0,medium,1
36,red,fixed acidity,7.8,6.0,medium,1
36,red,volatile acidity,0.6,6.0,medium,1
36,red,citric acid,0.14,6.0,medium,1
36,red,residual sugar,2.4,6.0,medium,1
36,red,chlorides,0.086,6.0,medium,1
36,red,free sulfur dioxide,3.0,6.0,medium,1
36,red,total sulfur dioxide,15.0,6.0,medium,1
36,red,density,0.9975,6.0,medium,1
36,red,pH,3.42,6.0,medium,1
36,red,sulphates,0.6,6.0,medium,1
36,red,alcohol,10.8,6.0,medium,1
37,red,fixed acidity,8.1,7.0,high,2
37,red,volatile acidity,0.38,7.0,high,2
37,red,citric acid,0.28,7.0,high,2
37,red,residual sugar,2.1,7.0,high,2
37,red,chlorides,0.066,7.0,high,2
37,red,free sulfur dioxide,13.0,7.0,high,2
37,red,total sulfur dioxide,30.0,7.0,high,2
37,red,density,0.9968,7.0,high,2
37,red,pH,3.23,7.0,high,2
37,red,sulphates,0.73,7.0,high,2
37,red,alcohol,9.7,7.0,high,2
38,red,fixed acidity,5.7,4.0,low,0
38,red,volatile acidity,1.13,4.0,low,0
38,red,citric acid,0.09,4.0,low,0
38,red,residual sugar,1.5,4.0,low,0
38,red,chlorides,0.172,4.0,low,0
38,red,free sulfur dioxide,7.0,4.0,low,0
38,red,total sulfur dioxide,19.0,4.0,low,0
38,red,density,0.994,4.0,low,0
38,red,pH,3.5,4.0,low,0
38,red,sulphates,0.48,4.0,low,0
38,red,alcohol,9.8,4.0,low,0
39,red,fixed acidity,7.3,5.0,medium,1
39,red,volatile acidity,0.45,5.0,medium,1
39,red,citric acid,0.36,5.0,medium,1
39,red,residual sugar,5.9,5.0,medium,1
39,red,chlorides,0.074,5.0,medium,1
39,red,free sulfur dioxide,12.0,5.0,medium,1
39,red,total sulfur dioxide,87.0,5.0,medium,1
39,red,density,0.9978,5.0,medium,1
39,red,pH,3.33,5.0,medium,1
39,red,sulphates,0.83,5.0,medium,1
39,red,alcohol,10.5,5.0,medium,1
40,red,fixed acidity,7.3,5.0,medium,1
40,red,volatile acidity,0.45,5.0,medium,1
40,red,citric acid,0.36,5.0,medium,1
40,red,residual sugar,5.9,5.0,medium,1
40,red,chlorides,0.074,5.0,medium,1
40,red,free sulfur dioxide,12.0,5.0,medium,1
40,red,total sulfur dioxide,87.0,5.0,medium,1
40,red,density,0.9978,5.0,medium,1
40,red,pH,3.33,5.0,medium,1
40,red,sulphates,0.83,5.0,medium,1
40,red,alcohol,10.5,5.0,medium,1
41,red,fixed acidity,8.8,4.0,low,0
41,red,volatile acidity,0.61,4.0,low,0
41,red,citric acid,0.3,4.0,low,0
41,red,residual sugar,2.8,4.0,low,0
41,red,chlorides,0.088,4.0,low,0
41,red,free sulfur dioxide,17.0,4.0,low,0
41,red,total sulfur dioxide,46.0,4.0,low,0
41,red,density,0.9976,4.0,low,0
41,red,pH,3.26,4.0,low,0
41,red,sulphates,0.51,4.0,low,0
41,red,alcohol,9.3,4.0,low,0
42,red,fixed acidity,7.5,6.0,medium,1
42,red,volatile acidity,0.49,6.0,medium,1
42,red,citric acid,0.2,6.0,medium,1
42,red,residual sugar,2.6,6.0,medium,1
42,red,chlorides,0.332,6.0,medium,1
42,red,free sulfur dioxide,8.0,6.0,medium,1
42,red,total sulfur dioxide,14.0,6.0,medium,1
42,red,density,0.9968,6.0,medium,1
42,red,pH,3.21,6.0,medium,1
42,red,sulphates,0.9,6.0,medium,1
42,red,alcohol,10.5,6.0,medium,1
43,red,fixed acidity,8.1,5.0,medium,1
43,red,volatile acidity,0.66,5.0,medium,1
43,red,citric acid,0.22,5.0,medium,1
43,red,residual sugar,2.2,5.0,medium,1
43,red,chlorides,0.069,5.0,medium,1
43,red,free sulfur dioxide,9.0,5.0,medium,1
43,red,total sulfur dioxide,23.0,5.0,medium,1
43,red,density,0.9968,5.0,medium,1
43,red,pH,3.3,5.0,medium,1
43,red,sulphates,1.2,5.0,medium,1
43,red,alcohol,10.3,5.0,medium,1
44,red,fixed acidity,6.8,5.0,medium,1
44,red,volatile acidity,0.67,5.0,medium,1
44,red,citric acid,0.02,5.0,medium,1
44,red,residual sugar,1.8,5.0,medium,1
44,red,chlorides,0.05,5.0,medium,1
44,red,free sulfur dioxide,5.0,5.0,medium,1
44,red,total sulfur dioxide,11.0,5.0,medium,1
44,red,density,0.9962,5.0,medium,1
44,red,pH,3.48,5.0,medium,1
44,red,sulphates,0.52,5.0,medium,1
44,red,alcohol,9.5,5.0,medium,1
45,red,fixed acidity,4.6,4.0,low,0
45,red,volatile acidity,0.52,4.0,low,0
45,red,citric acid,0.15,4.0,low,0
45,red,residual sugar,2.1,4.0,low,0
45,red,chlorides,0.054,4.0,low,0
45,red,free sulfur dioxide,8.0,4.0,low,0
45,red,total sulfur dioxide,65.0,4.0,low,0
45,red,density,0.9934,4.0,low,0
45,red,pH,3.9,4.0,low,0
45,red,sulphates,0.56,4.0,low,0
45,red,alcohol,13.1,4.0,low,0
46,red,fixed acidity,7.7,5.0,medium,1
46,red,volatile acidity,0.935,5.0,medium,1
46,red,citric acid,0.43,5.0,medium,1
46,red,residual sugar,2.2,5.0,medium,1
46,red,chlorides,0.114,5.0,medium,1
46,red,free sulfur dioxide,22.0,5.0,medium,1
46,red,total sulfur dioxide,114.0,5.0,medium,1
46,red,density,0.997,5.0,medium,1
46,red,pH,3.25,5.0,medium,1
46,red,sulphates,0.73,5.0,medium,1
46,red,alcohol,9.2,5.0,medium,1
47,red,fixed acidity,8.7,5.0,medium,1
47,red,volatile acidity,0.29,5.0,medium,1
47,red,citric acid,0.52,5.0,medium,1
47,red,residual sugar,1.6,5.0,medium,1
47,red,chlorides,0.113,5.0,medium,1
47,red,free sulfur dioxide,12.0,5.0,medium,1
47,red,total sulfur dioxide,37.0,5.0,medium,1
47,red,density,0.9969,5.0,medium,1
47,red,pH,3.25,5.0,medium,1
47,red,sulphates,0.58,5.0,medium,1
47,red,alcohol,9.5,5.0,medium,1
48,red,fixed acidity,6.4,5.0,medium,1
48,red,volatile acidity,0.4,5.0,medium,1
48,red,citric acid,0.23,5.0,medium,1
48,red,residual sugar,1.6,5.0,medium,1
48,red,chlorides,0.066,5.0,medium,1
48,red,free sulfur dioxide,5.0,5.0,medium,1
48,red,total sulfur dioxide,12.0,5.0,medium,1
48,red,density,0.9958,5.0,medium,1
48,red,pH,3.34,5.0,medium,1
48,red,sulphates,0.56,5.0,medium,1
48,red,alcohol,9.2,5.0,medium,1
49,red,fixed acidity,5.6,5.0,medium,1
49,red,volatile acidity,0.31,5.0,medium,1
49,red,citric acid,0.37,5.0,medium,1
49,red,residual sugar,1.4,5.0,medium,1
49,red,chlorides,0.074,5.0,medium,1
49,red,free sulfur dioxide,12.0,5.0,medium,1
49,red,total sulfur dioxide,96.0,5.0,medium,1
49,red,density,0.9954,5.0,medium,1
49,red,pH,3.32,5.0,medium,1
49,red,sulphates,0.58,5.0,medium,1
49,red,alcohol,9.2,5.0,medium,1
50,red,fixed acidity,8.8,5.0,medium,1
50,red,volatile acidity,0.66,5.0,medium,1
50,red,citric acid,0.26,5.0,medium,1
50,red,residual sugar,1.7,5.0,medium,1
50,red,chlorides,0.074,5.0,medium,1
50,red,free sulfur dioxide,4.0,5.0,medium,1
50,red,total sulfur dioxide,23.0,5.0,medium,1
50,red,density,0.9971,5.0,medium,1
50,red,pH,3.15,5.0,medium,1
50,red,sulphates,0.74,5.0,medium,1
50,red,alcohol,9.2,5.0,medium,1
51,red,fixed acidity,6.6,6.0,medium,1
51,red,volatile acidity,0.52,6.0,medium,1
51,red,citric acid,0.04,6.0,medium,1
51,red,residual sugar,2.2,6.0,medium,1
51,red,chlorides,0.069,6.0,medium,1
51,red,free sulfur dioxide,8.0,6.0,medium,1
51,red,total sulfur dioxide,15.0,6.0,medium,1
51,red,density,0.9956,6.0,medium,1
51,red,pH,3.4,6.0,medium,1
51,red,sulphates,0.63,6.0,medium,1
51,red,alcohol,9.4,6.0,medium,1
52,red,fixed acidity,6.6,6.0,medium,1
52,red,volatile acidity,0.5,6.0,medium,1
52,red,citric acid,0.04,6.0,medium,1
52,red,residual sugar,2.1,6.0,medium,1
52,red,chlorides,0.068,6.0,medium,1
52,red,free sulfur dioxide,6.0,6.0,medium,1
52,red,total sulfur dioxide,14.0,6.0,medium,1
52,red,density,0.9955,6.0,medium,1
52,red,pH,3.39,6.0,medium,1
52,red,sulphates,0.64,6.0,medium,1
52,red,alcohol,9.4,6.0,medium,1
53,red,fixed acidity,8.6,5.0,medium,1
53,red,volatile acidity,0.38,5.0,medium,1
53,red,citric acid,0.36,5.0,medium,1
53,red,residual sugar,3.0,5.0,medium,1
53,red,chlorides,0.081,5.0,medium,1
53,red,free sulfur dioxide,30.0,5.0,medium,1
53,red,total sulfur dioxide,119.0,5.0,medium,1
53,red,density,0.997,5.0,medium,1
53,red,pH,3.2,5.0,medium,1
53,red,sulphates,0.56,5.0,medium,1
53,red,alcohol,9.4,5.0,medium,1
54,red,fixed acidity,7.6,6.0,medium,1
54,red,volatile acidity,0.51,6.0,medium,1
54,red,citric acid,0.15,6.0,medium,1
54,red,residual sugar,2.8,6.0,medium,1
54,red,chlorides,0.11,6.0,medium,1
54,red,free sulfur dioxide,33.0,6.0,medium,1
54,red,total sulfur dioxide,73.0,6.0,medium,1
54,red,density,0.9955,6.0,medium,1
54,red,pH,3.17,6.0,medium,1
54,red,sulphates,0.63,6.0,medium,1
54,red,alcohol,10.2,6.0,medium,1
55,red,fixed acidity,7.7,5.0,medium,1
55,red,volatile acidity,0.62,5.0,medium,1
55,red,citric acid,0.04,5.0,medium,1
55,red,residual sugar,3.8,5.0,medium,1
